Size 905,2
4.123542338288049695e-07,-1.814997044805727343e-07
-4.098505373858463473e-07,-1.797194208575177438e-07
-9.170466390177873280e-07,-1.865859868016307930e-07
-9.479806557449194093e-07,-7.415240783195813834e-08
-4.563839926687802531e-07,1.083325484854410766e-07
4.371688192093504336e-07,1.070192345979509072e-07
9.510134790842740188e-07,-8.910426224587824510e-08
9.181570764709434284e-07,-2.022059665227724164e-07
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999547e-07,3.419442499456991677e-07
-9.999999999999999547e-07,2.984010031568620950e-07
9.999999999999999547e-07,-2.835902381916565337e-07
-9.999999999999999547e-07,-1.856391141552344863e-07
4.352473951035517463e-07,-2.140008668269445438e-08
-5.373543832181954176e-07,-1.192721194961794555e-08
3.876336831766196609e-07,8.823662816680036019e-09
-3.797280560533112630e-07,5.933457055913292713e-09
9.951950832402973927e-07,-6.272481240957910943e-08
-9.879074833325919717e-07,-7.942693132000793735e-08
9.721217559994357862e-07,-2.609946673651691370e-07
-9.715448006821143862e-07,-2.739599405631063322e-07
4.133306150240751283e-07,-4.760880630046035031e-07
-4.133453934162585620e-07,-4.826353641359395803e-07
4.236059234824432853e-07,-1.806117475927084577e-07
-4.171802628469043884e-07,-1.839597340024255603e-07
9.441450506242654370e-07,-3.029499374057480313e-07
-9.452286002637781876e-07,-3.050844248376594526e-07
9.354367961529877442e-07,-3.959269381153127715e-07
-9.358023333444125906e-07,-3.908524608816538433e-07
4.113516552668529214e-07,-5.057563620188216897e-07
-4.010665810597663431e-07,-5.021548673198443058e-07
2.567412464376926568e-07,-1.611826876229612577e-07
1.249227511329941879e-07,-1.490645296051457523e-07
1.842189399625826597e-10,-1.442149725003999890e-07
-1.242338186358220533e-07,-1.468644165917779913e-07
-2.550117555609861809e-07,-1.581443688677937791e-07
-5.576396414020392954e-07,-1.909824138525093578e-07
-7.106918146156275520e-07,-1.906785957959289842e-07
-8.334437923410415852e-07,-1.890693325633147853e-07
-9.766684420617851073e-07,-1.778415398276286472e-07
-1.007099834067420320e-06,-1.636354091982804575e-07
-1.018949978324132326e-06,-1.473027948809776067e-07
-1.016195699916915782e-06,-1.281368454731204681e-07
-9.940429469801461523e-07,-1.037951385427738769e-07
-8.723976766588803973e-07,-3.787393545684974928e-08
-7.530283691446460430e-07,1.427057437222611477e-08
-6.012724760684453098e-07,6.748702472533063974e-08
-2.986125320731753599e-07,1.346266601684099386e-07
-1.554583298913123792e-07,1.516436660622692671e-07
-1.539546312550280573e-08,1.580669721286734495e-07
1.257078519978422586e-07,1.533435489274358835e-07
2.722914210474317586e-07,1.365061104304156035e-07
5.903300512109565656e-07,6.945150085146667990e-08
7.422616227462341057e-07,6.090051805746918608e-09
8.750018708166193763e-07,-4.945280124032471308e-08
1.000493165710300522e-06,-1.234777694710555607e-07
1.021131581809660534e-06,-1.493244413389190639e-07
1.023329322586749749e-06,-1.688463522687670300e-07
1.009659218597727776e-06,-1.843043807300625239e-07
9.783774853304148330e-07,-1.966892335472603838e-07
8.293764277003851687e-07,-1.986837061963594953e-07
7.132191117169357618e-07,-2.040131651807934964e-07
5.540312060269266737e-07,-2.076592756422947724e-07
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.240657361289750712e-07,3.238584279636930491e-07
-2.681555466922279122e-07,1.609545427844592160e-07
9.999999999999999547e-07,-2.869543365660704951e-07
9.999999999999999547e-07,-2.804206798549930390e-07
9.999999999999999547e-07,-2.665636197819031793e-07
9.999999999999999547e-07,-2.384953018356048044e-07
9.999999999999999547e-07,-2.014445650194356725e-07
9.999999999999999547e-07,-1.625494934716147865e-07
9.999999999999999547e-07,-1.345475466970313159e-07
9.999999999999999547e-07,-1.248320551803136508e-07
9.999999999999999547e-07,-1.407439858691494322e-07
9.999999999999999547e-07,-1.797426585572635322e-07
9.999999999999999547e-07,-2.350207948416585673e-07
9.999999999999999547e-07,-3.014901082871467133e-07
9.999999999999999547e-07,-3.686652138256079151e-07
9.999999999999999547e-07,-4.238199187640400896e-07
9.999999999999999547e-07,-4.581159624248206846e-07
9.999999999999999547e-07,-4.734156675222647577e-07
9.999999999999999547e-07,-4.563280604837979697e-07
9.999999999999999547e-07,-4.148145630174941706e-07
9.999999999999999547e-07,-3.576200102762558570e-07
9.999999999999999547e-07,-2.985297115938986573e-07
9.999999999999999547e-07,-2.502764823620573896e-07
9.999999999999999547e-07,-2.284498987693532081e-07
9.999999999999999547e-07,-2.258609396792849579e-07
9.999999999999999547e-07,-2.463563675738008116e-07
9.999999999999999547e-07,-2.775871538657399695e-07
9.999999999999999547e-07,-3.133932112992755109e-07
9.999999999999999547e-07,-3.439336161338344064e-07
9.999999999999999547e-07,-3.591347188761137875e-07
9.999999999999999547e-07,-3.581030055364776929e-07
9.999999999999999547e-07,-3.263650974179527698e-07
9.999999999999999547e-07,-2.632895223237751515e-07
9.999999999999999547e-07,-1.740087719209325449e-07
